gid,objectid,statefp,placefp,geoid,name,namelsad,geonum,x,y,geom
152,152,08,25610,0825610,Fairplay,Fairplay town,10825610,-105.996,39.2245,0101000020AD1000001CAA446DBC7F5AC025C2C85ABC9C4340
153,153,08,06255,0806255,Berthoud,Berthoud town,10806255,-105.041,40.3058,0101000020AD100000C7C927C5A2425AC03DE8C57A25274440
154,154,08,03950,0803950,Ault,Ault town,10803950,-104.734,40.5835,0101000020AD100000C377533DF92E5AC091DA239DAE4A4440
155,155,08,08675,0808675,Brighton,Brighton city,10808675,-104.796,39.9719,0101000020AD10000047A04799EE325AC06FCBEBC265FC4340
156,156,08,24950,0824950,Erie,Erie town,10824950,-105.04,40.0376,0101000020AD10000080EDC1498F425AC01AF028F2D0044440
157,157,08,27700,0827700,Fort Lupton,Fort Lupton city,10827700,-104.798,40.0828,0101000020AD10000015528D0616335AC049BA6044980A4440
158,158,08,29185,0829185,Garden City,Garden City town,10829185,-104.689,40.3946,0101000020AD100000541D40AB202C5AC0E36282F881324440
159,159,08,29955,0829955,Gilcrest,Gilcrest town,10829955,-104.782,40.2842,0101000020AD100000C143D1AC0C325AC0FF61B73A5F244440
160,160,08,32155,0832155,Greeley,Greeley city,10832155,-104.771,40.4146,0101000020AD10000040EB0ADB52315AC0EFFDF82210354440
161,161,08,09280,0809280,Broomfield,Broomfield city,10809280,-105.053,39.9541,0101000020AD10000057E55FDC5E435AC05DE7191F21FA4340
162,162,08,30780,0830780,Glenwood Springs,Glenwood Springs city,10830780,-107.335,39.546,0101000020AD100000F1AC81046FD55AC09A462E8AE4C54340
163,163,08,70195,0870195,Silt,Silt town,10870195,-107.654,39.5478,0101000020AD1000004C233DD7D8E95AC0F133BDD01DC64340
164,164,08,43605,0843605,La Salle,La Salle town,10843605,-104.706,40.3485,0101000020AD100000797194E82D2D5AC04B8A2D759C2C4440
165,165,08,49600,0849600,Mead,Mead town,10849600,-104.994,40.2293,0101000020AD100000F02CE561A23F5AC0196146845A1D4440
166,166,08,54330,0854330,Northglenn,Northglenn city,10854330,-104.978,39.9109,0101000020AD10000042C545499B3E5AC06646722897F44340
167,167,08,07410,0807410,Blue River,Blue River town,10807410,-106.035,39.4357,0101000020AD100000E0E0A12343825AC001AB9AEAC5B74340
168,168,08,20440,0820440,Dillon,Dillon town,10820440,-106.039,39.621,0101000020AD10000089F1693078825AC0E25044867CCF4340
169,169,08,70525,0870525,Silverthorne,Silverthorne town,10870525,-106.087,39.6563,0101000020AD100000F327CB2690855AC01471241102D44340
170,170,08,20770,0820770,Dolores,Dolores town,10820770,-108.5,37.474,0101000020AD100000CBD0EA19FD1F5BC05608BFB5ABBC4240
171,171,08,59005,0859005,Pierce,Pierce town,10859005,-104.755,40.6335,0101000020AD100000005433D754305AC001AB1C7F16514440
172,172,08,69150,0869150,Severance,Severance town,10869150,-104.863,40.5339,0101000020AD1000005D30A77736375AC0F48E150F58444440
173,173,08,77290,0877290,Thornton,Thornton city,10877290,-104.945,39.9195,0101000020AD1000008340291A753C5AC07F8B4216B1F54340
174,174,08,34740,0834740,Haswell,Haswell town,10834740,-103.165,38.4524,0101000020AD100000EB421CAA8DCA59C0ED0D94ECE9394340
175,175,08,06090,0806090,Bennett,Bennett town,10806090,-104.429,39.7367,0101000020AD1000004A2070686F1B5AC03B9019FB4BDE4340
176,176,08,03455,0803455,Arvada,Arvada city,10803455,-105.151,39.8321,0101000020AD1000008B60DF33A7495AC002B55A6F81EA4340
177,177,08,21265,0821265,Dove Creek,Dove Creek town,10821265,-108.906,37.7667,0101000020AD100000D52CF8C5003A5BC0A41D431422E24240
178,178,08,55870,0855870,Ophir,Ophir town,10855870,-107.829,37.8568,0101000020AD1000009A6229B60EF55AC0A55EC7EEACED4240
179,179,08,37545,0837545,Hotchkiss,Hotchkiss town,10837545,-107.714,38.7991,0101000020AD10000054CEB930ACED5AC0088432C047664340
180,180,08,12045,0812045,Carbondale,Carbondale town,10812045,-107.214,39.3946,0101000020AD10000026E92FF7B9CD5AC054FFDBD282B24340
181,181,08,53395,0853395,New Castle,New Castle town,10853395,-107.526,39.5784,0101000020AD100000A3040A5AADE15AC04AB609600ACA4340
182,182,08,64255,0864255,Rifle,Rifle city,10864255,-107.772,39.5361,0101000020AD1000008F7AD59D66F15AC087D6F00EA0C44340
183,183,08,86750,0886750,Yuma,Yuma city,10886750,-102.716,40.1239,0101000020AD1000007FEE76EAD9AD59C0D54DCE87DB0F4440
184,184,08,31660,0831660,Grand Junction,Grand Junction city,10831660,-108.568,39.0881,0101000020AD1000008236562A55245BC0AE31336C468B4340
185,185,08,35070,0835070,Hayden,Hayden town,10835070,-107.242,40.4852,0101000020AD1000001CFC740E82CF5AC00032A84B1C3E4440
186,186,08,55155,0855155,Oak Creek,Oak Creek town,10855155,-106.957,40.274,0101000020AD1000002646DDD940BD5AC0C072E12612234440
187,187,08,76795,0876795,Telluride,Telluride town,10876795,-107.826,37.9364,0101000020AD100000CDE10C00E2F45AC0861A5CE7DBF74240
188,188,08,86475,0886475,Yampa,Yampa town,10886475,-106.908,40.153,0101000020AD100000F570C4CA24BA5AC0F188745D95134440
189,189,08,52550,0852550,Mountain Village,Mountain Village town,10852550,-107.858,37.9324,0101000020AD10000094084418E7F65AC08EC9982358F74240
190,190,08,04110,0804110,Avon,Avon town,10804110,-106.514,39.6448,0101000020AD100000F8038286E1A05AC0A024223288D24340
191,191,08,54880,0854880,Norwood,Norwood town,10854880,-108.292,38.1288,0101000020AD1000005B9E6166AB125BC0C45F1F0B7E104340
192,192,08,50920,0850920,Minturn,Minturn town,10850920,-106.387,39.5462,0101000020AD1000009DD593BCC7985AC0938CC570EBC54340
193,193,08,63265,0863265,Red Cliff,Red Cliff town,10863265,-106.37,39.5091,0101000020AD100000B1947192AE975AC00559619D2BC14340
194,194,08,04935,0804935,Basalt,Basalt town,10804935,-107.042,39.3665,0101000020AD100000721128DFA8C25AC0D3654ED9E7AE4340
195,195,08,00760,0800760,Aguilar,Aguilar town,10800760,-104.655,37.4036,0101000020AD100000596BF31CEC295AC0E3ACAA02AAB34240
196,196,08,73715,0873715,Starkville,Starkville town,10873715,-104.523,37.1168,0101000020AD100000F7490AB57D215AC058A2B5F6F38E4240
197,197,08,43550,0843550,Larkspur,Larkspur town,10843550,-104.892,39.2317,0101000020AD1000008E0246871D395AC0AC47BB8FA99D4340
198,198,08,08070,0808070,Bow Mar,Bow Mar town,10808070,-105.051,39.6251,0101000020AD100000C617C94948435AC0A1CD91E804D04340
199,199,08,13845,0813845,Cherry Hills Village,Cherry Hills Village city,10813845,-104.948,39.6376,0101000020AD10000063C60DF2AC3C5AC068B9B2429BD14340
200,200,08,34960,0834960,Haxtun,Haxtun town,10834960,-102.63,40.6415,0101000020AD10000022DBA95D4AA859C0066DAE551D524440
201,201,08,57245,0857245,Paoli,Paoli town,10857245,-102.472,40.6129,0101000020AD10000064BB4B3F369E59C09323BC8C724E4440
202,202,08,16385,0816385,Columbine Valley,Columbine Valley town,10816385,-105.035,39.5994,0101000020AD100000C24D85193B425AC0B203DA56B8CC4340
203,203,08,28105,0828105,Foxfield,Foxfield town,10828105,-104.786,39.5884,0101000020AD1000007229F3EB4A325AC05CF172DD50CB4340
204,204,08,30340,0830340,Glendale,Glendale city,10830340,-104.935,39.7036,0101000020AD100000A7100625D93B5AC0C6EE30CB10DA4340
205,205,08,69645,0869645,Sheridan,Sheridan city,10869645,-105.018,39.6468,0101000020AD10000061D315BB27415AC0C838E439CAD24340
206,206,08,12815,0812815,Centennial,Centennial city,10812815,-104.868,39.5927,0101000020AD10000017F868958C375AC03C1B963DDECB4340
207,207,08,37270,0837270,Holyoke,Holyoke city,10837270,-102.299,40.5826,0101000020AD10000009D055701B9359C0C32A7243924A4440
208,208,08,37380,0837380,Hooper,Hooper town,10837380,-105.878,37.746,0101000020AD1000009F2DC1D02C785AC0E93FF6227CDF4240
209,209,08,42055,0842055,La Jara,La Jara town,10842055,-105.96,37.2736,0101000020AD100000D978B3B46D7D5AC06025C21404A34240
210,210,08,65740,0865740,Romeo,Romeo town,10865740,-105.985,37.1718,0101000020AD100000FC3B4A06117F5AC09B4C4929FE954240
211,211,08,02355,0802355,Antonito,Antonito town,10802355,-106.01,37.0766,0101000020AD100000231ADB78A7805AC0C710F932CE894240
212,212,08,48060,0848060,Manassa,Manassa town,10848060,-105.937,37.1738,0101000020AD100000A068EE4FFC7B5AC05B5B476E40964240
213,213,08,46465,0846465,Loveland,Loveland city,10846465,-105.062,40.4168,0101000020AD100000D554BF11FC435AC018A417015A354440
214,214,08,77510,0877510,Timnath,Timnath town,10877510,-104.962,40.5312,0101000020AD100000297657D58F3D5AC0E24E75FEFD434440
215,215,08,33640,0833640,Gunnison,Gunnison city,10833640,-106.923,38.5455,0101000020AD100000497035120BBB5AC01BE1273BD2454340
216,216,08,48555,0848555,Marble,Marble town,10848555,-107.19,39.0718,0101000020AD1000005F8FF89B30CC5AC02A1FEC4831894340
217,217,08,52570,0852570,Mount Crested Butte,Mount Crested Butte town,10852570,-106.959,38.9085,0101000020AD100000425815E25ABD5AC02D84093848744340
218,218,08,31550,0831550,Granada,Granada town,10831550,-102.312,38.063,0101000020AD1000002DA18001F39359C0A057F0900F084340
219,219,08,37215,0837215,Holly,Holly town,10837215,-102.125,38.0554,0101000020AD100000C2CA6B19FB8759C08E05E0E416074340
220,220,08,43110,0843110,Lamar,Lamar city,10843110,-102.616,38.0728,0101000020AD1000003654B19C66A759C0D5653E2A52094340
221,221,08,85045,0885045,Wiley,Wiley town,10885045,-102.719,38.1554,0101000020AD1000003B704D2A08AE59C06936F4B0E2134340
222,222,08,12855,0812855,Center,Center town,10812855,-106.11,37.7514,0101000020AD100000EB4A566F0D875AC07C9F56462CE04240
223,223,08,12387,0812387,Castle Pines,Castle Pines city,10812387,-104.871,39.4625,0101000020AD10000026C1E761B8375AC0F24A2C9733BB4340
224,224,08,69040,0869040,Seibert,Seibert town,10869040,-102.87,39.298,0101000020AD10000027B4E747A6B759C0C3156EC823A64340
225,225,08,29680,0829680,Genoa,Genoa town,10829680,-103.499,39.2783,0101000020AD10000082AB201BECDF59C07583A752A0A34340
226,226,08,37875,0837875,Hugo,Hugo town,10837875,-103.473,39.136,0101000020AD1000002BF07DBE4BDE59C0E3B4883667914340
227,227,08,04000,0804000,Aurora,Aurora city,10804000,-104.727,39.7088,0101000020AD10000019011E1B8A2E5AC0CBA30A52B8DA4340
228,228,08,16495,0816495,Commerce City,Commerce City city,10816495,-104.844,39.8638,0101000020AD100000E28C1E65FD355AC05564988490EE4340
229,229,08,26270,0826270,Federal Heights,Federal Heights city,10826270,-105.015,39.8651,0101000020AD100000CDA29FC5FC405AC09C36841EBAEE4340
230,230,08,83835,0883835,Westminster,Westminster city,10883835,-105.063,39.8837,0101000020AD100000B0FA4C3C03445AC01A0B46DB1CF14340
231,231,08,44980,0844980,Limon,Limon town,10844980,-103.685,39.2653,0101000020AD10000056F3CAB2D8EB59C09A5AB360F5A14340
232,232,08,14765,0814765,City of Creede,City of Creede town,10814765,-106.925,37.8491,0101000020AD10000007B8BE013ABB5AC07AE4556CAFEC4240
233,233,08,44100,0844100,La Veta,La Veta town,10844100,-105.008,37.5086,0101000020AD10000067199B0A8B405AC02DB5A49818C14240
234,234,08,20000,0820000,Denver,Denver city,10820000,-104.876,39.762,0101000020AD10000081A8B52D16385AC0A7DEF9D889E14340
235,235,08,70250,0870250,Silver Cliff,Silver Cliff town,10870250,-105.41,38.1204,0101000020AD100000D54679DA435A5AC0733C63D3680F4340
236,236,08,83450,0883450,Westcliffe,Westcliffe town,10883450,-105.465,38.1339,0101000020AD1000001250E117C95D5AC04F3C0B0225114340
237,237,08,19795,0819795,Del Norte,Del Norte town,10819795,-106.354,37.6784,0101000020AD1000004383ADCDA6965AC09B93645ED7D64240
238,238,08,51635,0851635,Monte Vista,Monte Vista city,10851635,-106.15,37.5788,0101000020AD10000049004D4D9F895AC05D6EEFE316CA4240
239,239,08,25280,0825280,Evans,Evans city,10825280,-104.739,40.3661,0101000020AD1000005B0629554A2F5AC0DE11AAF3DB2E4440
240,240,08,50480,0850480,Milliken,Milliken town,10850480,-104.856,40.3103,0101000020AD1000002B2FC059C2365AC048CF403FB9274440
241,241,08,60160,0860160,Platteville,Platteville town,10860160,-104.834,40.2241,0101000020AD1000008BBFB7E162355AC0F28B8808AE1C4440
242,242,08,80040,0880040,Vail,Vail town,10880040,-106.361,39.6386,0101000020AD1000005E02EDA918975AC07EE56C13BCD14340
243,243,08,26600,0826600,Firestone,Firestone town,10826600,-104.948,40.1503,0101000020AD1000006D9F9167A83C5AC04B5938903D134440
244,244,08,28360,0828360,Frederick,Frederick town,10828360,-104.968,40.1096,0101000020AD100000A2FF902BEE3D5AC0918743C9060E4440
245,245,08,62000,0862000,Pueblo,Pueblo city,10862000,-104.613,38.2702,0101000020AD10000059B9E9C93A275AC049A359B994224340
246,246,08,41010,0841010,Kit Carson,Kit Carson town,10841010,-102.795,38.7628,0101000020AD100000A5275047E7B259C0A9D1BF30A4614340
247,247,08,03235,0803235,Arriba,Arriba town,10803235,-103.274,39.2841,0101000020AD1000003397759E87D159C0A7873B035CA44340
248,248,08,15550,0815550,Cokedale,Cokedale town,10815550,-104.622,37.1442,0101000020AD1000008FC4E91FC8275AC0A23C83E375924240
249,249,08,07190,0807190,Blanca,Blanca town,10807190,-105.514,37.4393,0101000020AD10000083F87F9DDD605AC0D69853573AB84240
250,250,08,24785,0824785,Englewood,Englewood city,10824785,-104.994,39.6468,0101000020AD10000080D577F8A03F5AC02BA5090ACBD24340
251,251,08,33035,0833035,Greenwood Village,Greenwood Village city,10833035,-104.913,39.6152,0101000020AD1000008C92B16A6F3A5AC079A89C30C0CE4340
252,252,08,19630,0819630,Deer Trail,Deer Trail town,10819630,-104.043,39.6152,0101000020AD1000003787990BC3025AC04BC6F018BFCE4340
253,253,08,43000,0843000,Lakewood,Lakewood city,10843000,-105.117,39.6977,0101000020AD1000000EF5C0307C475AC087503D714DD94340
254,254,08,30835,0830835,Golden,Golden city,10830835,-105.212,39.7407,0101000020AD100000D2C7A86E954D5AC09B88F3E8CEDE4340
255,255,08,84440,0884440,Wheat Ridge,Wheat Ridge city,10884440,-105.103,39.7728,0101000020AD100000F754230F98465AC09FFD52E3E9E24340
256,256,08,45255,0845255,Littleton,Littleton city,10845255,-105.019,39.5912,0101000020AD100000467EF6A03B415AC0A51ABB62ABCB4340
257,257,08,42495,0842495,Lakeside,Lakeside town,10842495,-105.058,39.7802,0101000020AD1000004CC3EEC4B4435AC0B5113637DEE34340
258,258,08,75640,0875640,Superior,Superior town,10875640,-105.158,39.9347,0101000020AD100000011F08D8214A5AC0077D4613A4F74340
259,259,08,01090,0801090,Alamosa,Alamosa city,10801090,-105.877,37.4757,0101000020AD1000005ECC64041F785AC04945447AE4BC4240
260,260,08,41835,0841835,Lafayette,Lafayette city,10841835,-105.1,39.9946,0101000020AD1000005B61470160465AC0CFBF351850FF4340
261,261,08,82735,0882735,Ward,Ward town,10882735,-105.514,40.0726,0101000020AD1000002945E350DF605AC04ED89F704B094440
262,262,08,22035,0822035,Durango,Durango city,10822035,-107.872,37.2744,0101000020AD1000005F43C2AAD1F75AC016AA4D0220A34240
263,263,08,64090,0864090,Rico,Rico town,10864090,-108.031,37.6886,0101000020AD1000007A90010203025BC065725F0B23D84240
264,264,08,22145,0822145,Eads,Eads town,10822145,-102.78,38.4813,0101000020AD1000005CA1A0D9E7B159C0AD3B01C39C3D4340
265,265,08,69700,0869700,Sheridan Lake,Sheridan Lake town,10869700,-102.294,38.4667,0101000020AD100000EF86E937D39259C06799BD0EBC3B4340
266,266,08,07025,0807025,Black Hawk,Black Hawk city,10807025,-105.489,39.8011,0101000020AD100000CE2E37714F5F5AC04995D37189E64340
267,267,08,67830,0867830,Sanford,Sanford town,10867830,-105.901,37.2574,0101000020AD10000005D4A5BDA5795AC028D7C84EF3A04240
268,268,08,22200,0822200,Eagle,Eagle town,10822200,-106.816,39.6366,0101000020AD1000005631A50434B45AC05CE402A87DD14340
269,269,08,33695,0833695,Gypsum,Gypsum town,10833695,-106.935,39.6285,0101000020AD1000009AD27598CFBB5AC08D7E523C71D04340
270,270,08,59830,0859830,Pitkin,Pitkin town,10859830,-106.516,38.6086,0101000020AD100000E9A928C70DA15AC05144F0FBE64D4340
271,271,08,56365,0856365,Otis,Otis town,10856365,-102.962,40.1501,0101000020AD10000085329FAD93BD59C08A4E506B37134440
272,272,08,00320,0800320,Acres Green,Acres Green CDP,10800320,-104.896,39.5558,0101000020AD10000017DDEE6553395AC0CADFBCCA23C74340
273,273,08,00620,0800620,Aetna Estates,Aetna Estates CDP,10800620,-104.673,39.7381,0101000020AD1000006FDE3042162B5AC0A758A1EF7ADE4340
274,274,08,00870,0800870,Air Force Academy,Air Force Academy CDP,10800870,-104.864,38.9942,0101000020AD10000078A39E8C4A375AC0DBC02F89417F4340
275,275,08,01145,0801145,Alamosa East,Alamosa East CDP,10801145,-105.84,37.4767,0101000020AD10000064749142BD755AC07C97D02404BD4240
276,276,08,01420,0801420,Allenspark,Allenspark CDP,10801420,-105.511,40.2096,0101000020AD100000F9BEDC07AF605AC0D232EA6DD31A4440
277,277,08,01640,0801640,Alpine,Alpine CDP,10801640,-106.586,37.6878,0101000020AD1000002AC3EEFE83A55AC06F9BDA8E09D84240
278,278,08,01740,0801740,Altona,Altona CDP,10801740,-105.292,40.1254,0101000020AD100000E28A5D37B6525AC0F19AFA640C104440
279,279,08,01915,0801915,Amherst,Amherst CDP,10801915,-102.173,40.6832,0101000020AD1000009D9C73040C8B59C0E43F35B871574440
280,280,08,02575,0802575,Applewood,Applewood CDP,10802575,-105.16,39.7523,0101000020AD100000E5C3B088444A5AC0012CF9E84CE04340
281,281,08,02905,0802905,Arboles,Arboles CDP,10802905,-107.422,37.0201,0101000020AD100000AC3C456504DB5AC044A68ABC92824240
282,282,08,03015,0803015,Aristocrat Ranchettes,Aristocrat Ranchettes CDP,10803015,-104.755,40.1096,0101000020AD1000009BF75B1851305AC0B9115E61070E4440
283,283,08,03730,0803730,Aspen Park,Aspen Park CDP,10803730,-105.297,39.5423,0101000020AD1000008A8D753AFF525AC060DD8FD46AC54340
284,284,08,03840,0803840,Atwood,Atwood CDP,10803840,-103.275,40.5505,0101000020AD1000000A0ED40493D159C0EA60320376464440
285,285,08,04165,0804165,Avondale,Avondale CDP,10804165,-104.343,38.2351,0101000020AD100000E7384429FB155AC061767AC9181E4340
286,286,08,04620,0804620,Bark Ranch,Bark Ranch CDP,10804620,-105.442,40.1156,0101000020AD1000005A7724BF445C5AC0B9FFC4D4CA0E4440
287,287,08,05120,0805120,Battlement Mesa,Battlement Mesa CDP,10805120,-108.007,39.4505,0101000020AD100000FE4D7A006F005BC08FCCFDBEA8B94340
288,288,08,06172,0806172,Berkley,Berkley CDP,10806172,-105.028,39.8045,0101000020AD100000672EAA01CE415AC082CE3C24F9E64340
289,289,08,06602,0806602,Beulah Valley,Beulah Valley CDP,10806602,-104.979,38.0665,0101000020AD100000D05D2545A03E5AC0C55DC14182084340
290,290,08,06970,0806970,Black Forest,Black Forest CDP,10806970,-104.675,39.0609,0101000020AD100000261B0B31372B5AC012CF41FCC9874340
291,291,08,07245,0807245,Blende,Blende CDP,10807245,-104.569,38.2469,0101000020AD1000007AC45ACB6D245AC0FB1051159A1F4340
292,292,08,07420,0807420,Blue Sky,Blue Sky CDP,10807420,-103.806,40.3001,0101000020AD100000945D8FC68DF359C086FAD97E69264440
293,293,08,07580,0807580,Bonanza Mountain Estates,Bonanza Mountain Estates CDP,10807580,-105.48,39.9769,0101000020AD1000000EC22B64B15E5AC0EA7F2BBE0AFD4340
294,294,08,08290,0808290,Brandon,Brandon CDP,10808290,-102.441,38.4464,0101000020AD1000002621C1E13B9C59C03F32449E23394340
295,295,08,08530,0808530,Brick Center,Brick Center CDP,10808530,-104.458,39.6,0101000020AD100000886AC2CE4E1D5AC0A4A24684CDCC4340
296,296,08,10985,0810985,Byers,Byers CDP,10810985,-104.219,39.7101,0101000020AD1000009A34C81C030E5AC0983570B6E3DA4340
297,297,08,11975,0811975,Capulin,Capulin CDP,10811975,-106.105,37.2819,0101000020AD1000004E025771B7865AC02F93B8D314A44240
298,298,08,12325,0812325,Cascade-Chipita Park,Cascade-Chipita Park CDP,10812325,-105.002,38.9433,0101000020AD1000005B7E021128405AC039E2F31CBE784340
299,299,08,12393,0812393,Castle Pines Village,Castle Pines Village CDP,10812393,-104.897,39.4421,0101000020AD100000225216E96A395AC0D6CAD93495B84340
300,300,08,12450,0812450,Cathedral,Cathedral CDP,10812450,-107.031,38.0836,0101000020AD10000083FD5C90F6C15AC0A0DDF9C6B40A4340
301,301,08,12460,0812460,Catherine,Catherine CDP,10812460,-107.133,39.4016,0101000020AD100000AC74B1D982C85AC0A2A0C93F69B34340
302,302,08,12470,0812470,Cattle Creek,Cattle Creek CDP,10812470,-107.26,39.4666,0101000020AD1000007CC3857AA2D05AC0250361A6BABB4340
303,303,08,12945,0812945,Chacra,Chacra CDP,10812945,-107.451,39.577,0101000020AD10000004BA978CDBDC5AC0D7A713E7DAC94340
304,304,08,13590,0813590,Cherry Creek,Cherry Creek CDP,10813590,-104.864,39.6094,0101000020AD100000A93CD91D53375AC014B4DFA701CE4340
305,305,08,14587,0814587,Cimarron Hills,Cimarron Hills CDP,10814587,-104.7,38.859,0101000020AD1000005EE4F2E3C42C5AC0D4C32D4DF46D4340
306,306,08,15165,0815165,Clifton,Clifton CDP,10815165,-108.461,39.0763,0101000020AD100000C40C5A697B1D5BC0CC08A86DC5894340
307,307,08,15302,0815302,Coal Creek,Coal Creek CDP,10815302,-105.38,39.9071,0101000020AD10000022BCCC6650585AC001F9F8E91BF44340
308,308,08,15440,0815440,Coaldale,Coaldale CDP,10815440,-105.815,38.3563,0101000020AD100000578E9D8730745AC0358DCAEE9A2D4340
309,309,08,15825,0815825,Colona,Colona CDP,10815825,-107.779,38.3275,0101000020AD100000BFD30226E0F15AC086987CD8EB294340
310,310,08,15935,0815935,Colorado City,Colorado City CDP,10815935,-104.846,37.9365,0101000020AD10000064F21B0623365AC030C5FC15E0F74240
311,311,08,16110,0816110,Columbine,Columbine CDP,10816110,-105.069,39.5879,0101000020AD100000A07CAAB470445AC0FF46B6323FCB4340
312,312,08,16465,0816465,Comanche Creek,Comanche Creek CDP,10816465,-104.327,39.6151,0101000020AD10000098AC5A7CE9145AC0650C6EAEBACE4340
313,313,08,16715,0816715,Conejos,Conejos CDP,10816715,-106.016,37.0873,0101000020AD100000105BB80706815AC031A6C53D2B8B4240
314,314,08,17150,0817150,Copper Mountain,Copper Mountain CDP,10817150,-106.201,39.4769,0101000020AD100000059E421BDF8C5AC0525650170BBD4340
315,315,08,17485,0817485,Cotopaxi,Cotopaxi CDP,10817485,-105.691,38.3739,0101000020AD1000006ED11387366C5AC06F15C453DD2F4340
316,316,08,18585,0818585,Crisman,Crisman CDP,10818585,-105.367,40.0416,0101000020AD100000B49D7D2C83575AC0AA0118B854054440
317,317,08,19150,0819150,Dakota Ridge,Dakota Ridge CDP,10819150,-105.134,39.6194,0101000020AD1000007CE36ECB94485AC021CB2DC148CF4340
318,318,08,20275,0820275,Derby,Derby CDP,10820275,-104.917,39.8403,0101000020AD1000002CFD94B2AC3A5AC016CA799C8EEB4340
319,319,08,20605,0820605,Divide,Divide CDP,10820605,-105.162,38.945,0101000020AD100000CFC7CA605D4A5AC020D6A6F6F5784340
320,320,08,21155,0821155,Dotsero,Dotsero CDP,10821155,-107.054,39.6463,0101000020AD100000E1F26CB775C35AC0C3980F3DBBD24340
321,321,08,21330,0821330,Dove Valley,Dove Valley CDP,10821330,-104.828,39.5745,0101000020AD1000002F0684CAFA345AC05B507FB08AC94340
322,322,08,21390,0821390,Downieville-Lawson-Dumont,Downieville-Lawson-Dumont CDP,10821390,-105.613,39.7662,0101000020AD100000EF4A449E34675AC05E02DA5A14E24340
323,323,08,22575,0822575,East Pleasant View,East Pleasant View CDP,10822575,-105.157,39.7278,0101000020AD100000217857F60E4A5AC0EA4788F128DD4340
324,324,08,23300,0823300,Edwards,Edwards CDP,10823300,-106.618,39.6215,0101000020AD100000D574F0C791A75AC0875DC6458DCF4340
325,325,08,23520,0823520,Elbert,Elbert CDP,10823520,-104.54,39.2189,0101000020AD100000CFCB38A096225AC0A9F27B7A039C4340
326,326,08,23575,0823575,Eldora,Eldora CDP,10823575,-105.578,39.9536,0101000020AD1000001F1E9175FE645AC0B12B78A30FFA4340
327,327,08,23630,0823630,Eldorado Springs,Eldorado Springs CDP,10823630,-105.262,39.9367,0101000020AD1000003D18C3AECC505AC05C8AF571E6F74340
328,328,08,23795,0823795,El Jebel,El Jebel CDP,10823795,-107.092,39.4051,0101000020AD1000001EFCEC2BE4C55AC07E77DD8FD9B34340
329,329,08,24235,0824235,Ellicott,Ellicott CDP,10824235,-104.383,38.8256,0101000020AD100000037CA30A81185AC0A878ACF0AC694340
330,330,08,24290,0824290,El Moro,El Moro CDP,10824290,-104.449,37.2349,0101000020AD10000063FCC1FABE1C5AC06D2834B9129E4240
331,331,08,25390,0825390,Evergreen,Evergreen CDP,10825390,-105.336,39.6349,0101000020AD100000C8E7D7CE79555AC0EC5B655044D14340
332,332,08,25550,0825550,Fairmount,Fairmount CDP,10825550,-105.171,39.7931,0101000020AD1000009BCD1ECBF44A5AC034D111B683E54340
333,333,08,27095,0827095,Florissant,Florissant CDP,10827095,-105.29,38.9446,0101000020AD1000006550BB398D525AC0C02EB23FE7784340
334,334,08,27175,0827175,Floyd Hill,Floyd Hill CDP,10827175,-105.431,39.7241,0101000020AD10000003BC0A708E5B5AC048124D34AFDC4340
335,335,08,27370,0827370,Fort Carson,Fort Carson CDP,10827370,-104.784,38.7403,0101000020AD1000001BC5110C26325AC0B08C859EC15E4340
336,336,08,27535,0827535,Fort Garland,Fort Garland CDP,10827535,-105.435,37.4279,0101000020AD100000C05FD429D75B5AC0AFA231F4C5B64240
337,337,08,28250,0828250,Franktown,Franktown CDP,10828250,-104.749,39.3905,0101000020AD100000C5E9AF16EA2F5AC0DC2AC613FDB14340
338,338,08,28800,0828800,Fruitvale,Fruitvale CDP,10828800,-108.479,39.0933,0101000020AD10000033D96F79A61E5BC09E25746DF08B4340
339,339,08,28830,0828830,Fulford,Fulford CDP,10828830,-106.657,39.5166,0101000020AD1000003C96303414AA5AC00FFD87BF1EC24340
340,340,08,29295,0829295,Garfield,Garfield CDP,10829295,-106.289,38.5492,0101000020AD1000007C5BFEB984925AC05EA82E144C464340
341,341,08,29625,0829625,Genesee,Genesee CDP,10829625,-105.272,39.6873,0101000020AD1000006825024C66515AC0E063E0F3F9D74340
342,342,08,29845,0829845,Gerrard,Gerrard CDP,10829845,-106.575,37.6784,0101000020AD100000C17405C9D0A45AC0EC23D130D4D64240
343,343,08,30350,0830350,Glendale,Glendale CDP,10830350,-105.372,40.0869,0101000020AD100000FB94BC68C7575AC05F345EE71F0B4440
344,344,08,30420,0830420,Gleneagle,Gleneagle CDP,10830420,-104.829,39.0452,0101000020AD100000E3DDD1C40A355AC04C955664CA854340
345,345,08,30890,0830890,Goldfield,Goldfield CDP,10830890,-105.125,38.7176,0101000020AD100000CECD5C5D05485AC0D48E64C9DB5B4340
346,346,08,30945,0830945,Gold Hill,Gold Hill CDP,10830945,-105.419,40.0597,0101000020AD1000001F209897CF5A5AC03C706B56A5074440
347,347,08,31935,0831935,Grand View Estates,Grand View Estates CDP,10831935,-104.819,39.5439,0101000020AD100000122AAA9D68345AC0325A75CC9FC54340
